m_a_eV,squid_GeVinv
2.095662399480430758e-05,1.010134487153450904e-13
2.119953457536068761e-05,1.000100020838834874e-13
2.144526075971665420e-05,9.901813516222192951e-14
2.169383518385182289e-05,9.803771590378446456e-14
2.194529086203311546e-05,9.706861377507497442e-14
2.219966119119952429e-05,9.611069973817134195e-14
2.245697995539771554e-05,9.516384623341706013e-14
2.271728133026902697e-05,9.422792716230423792e-14
2.298059988758848710e-05,9.330281787054821709e-14
2.324697059985645546e-05,9.238839513134786815e-14
2.351642884494346329e-05,9.148453712883465747e-14
2.378901041078890856e-05,9.059112344170295042e-14
2.406475150015421866e-05,8.970803502702377205e-14
2.434368873543108034e-05,8.883515420423412407e-14
2.462585916350544169e-05,8.797236463930796694e-14
2.491130026067785879e-05,8.711955132909851732e-14
2.520004993764089510e-05,8.627660058585374163e-14
2.549214654451420375e-05,8.544340002190225599e-14
2.578762887593798400e-05,8.461983853451064268e-14
2.608653617622545218e-05,8.380580629090159306e-14
2.638890814457507585e-05,8.300119471344072807e-14
2.669478494034318111e-05,8.220589646498487631e-14
2.700420718837769874e-05,8.141980543438847782e-14
2.731721598441373358e-05,8.064281672217131929e-14
2.763385290053166867e-05,7.987482662634084828e-14
2.795415999067853594e-05,7.911573262836769035e-14
2.827817979625338199e-05,7.836543337931777734e-14
2.860595535175739117e-05,7.762382868613025706e-14
2.893753019050947418e-05,7.689081949804781088e-14
2.927294835042812854e-05,7.616630789319145286e-14
2.961225437988031288e-05,7.545019706528227154e-14
2.995549334359810082e-05,7.474239131050485107e-14
3.030271082866393438e-05,7.404279601451341953e-14
3.065395295056523920e-05,7.335131763957783373e-14
3.100926635931923166e-05,7.266786371186515981e-14
3.136869824566873116e-05,7.199234280886172159e-14
3.173229634734972955e-05,7.132466454692617548e-14
3.210010895543168686e-05,7.066473956897659085e-14
3.247218492073125124e-05,7.001247953231053864e-14
3.284857366030040257e-05,6.936779709655149864e-14
3.322932516398968385e-05,6.873060591172708864e-14
3.361449000108761818e-05,6.810082060647073450e-14
3.400411932703702948e-05,6.747835677634977258e-14
3.439826489022920894e-05,6.686313097231719500e-14
3.479697903887688269e-05,6.625506068928463975e-14
3.520031472796675308e-05,6.565406435481550215e-14
3.560832552629274530e-05,6.506006131793825613e-14
3.602106562357066397e-05,6.447297183807541623e-14
3.643858983763540501e-05,6.389271707409074032e-14
3.686095362172154264e-05,6.331921907344997788e-14
3.728821307182830118e-05,6.275240076149417918e-14
3.772042493416993489e-05,6.219218593082652478e-14
3.815764661271244413e-05,6.163849923080909062e-14
3.859993617679763090e-05,6.109126615716891775e-14
3.904735236885555739e-05,6.055041304171251563e-14
3.949995461220639028e-05,6.001586704214630008e-14
3.995780301895265397e-05,5.948755613200424050e-14
4.042095839796309883e-05,5.896540909067857655e-14
4.088948226294864539e-05,5.844935549355462663e-14
4.136343684063277602e-05,5.793932570224692385e-14
4.184288507901584570e-05,5.743525085493737397e-14
4.232789065573552758e-05,5.693706285681279701e-14
4.281851798652415236e-05,5.644469437060134172e-14
4.331483223376403243e-05,5.595807880720708464e-14
4.381689931514194311e-05,5.547715031644116067e-14
4.432478591240400772e-05,5.500184377784918503e-14
4.483855948021190816e-05,5.453209479163338908e-14
4.535828825510191179e-05,5.406783966966914173e-14
4.588404126454761567e-05,5.360901542661455017e-14
4.641588833612781789e-05,5.315555977111221216e-14
4.695390010680062706e-05,5.270741109708328392e-14
4.749814803228504342e-05,5.226450847511161081e-14
4.804870439655133953e-05,5.182679164391840651e-14
4.860564232142138599e-05,5.139420100192655316e-14
4.916903577628031102e-05,5.096667759891314663e-14
4.973895958790067998e-05,5.054416312775048890e-14
