m_a_eV,SM_Np_D_0.15mm_GeVinv,SM_Eu_D_0.15mm_GeVinv,SM_Np_D_1mm_GeVinv,SM_Eu_D_1mm_GeVinv
2.266498079273693014e-06,4.884402233743260707e-09,3.161617471335322075e-08,4.593088448233118564e-10,2.973053403546857030e-09
2.292769312865648563e-06,4.857211478472916226e-09,3.144017207719104309e-08,4.567906840791383734e-10,2.956753638246184195e-09
2.319345059274427713e-06,4.830182066838444438e-09,3.126521379985447680e-08,4.542877137921110566e-10,2.940552199030081538e-09
2.346228848142262270e-06,4.803313102539445087e-09,3.109129407969395977e-08,4.517998512664093146e-10,2.924448550617999168e-09
2.373424250023866098e-06,4.776603694622353014e-09,3.091840714966939831e-08,4.493270143150523473e-10,2.908442161023049583e-09
2.400934876860651595e-06,4.750052957451643169e-09,3.074654727716374053e-08,4.468691212573021102e-10,2.892532501535195631e-09
2.428764382460450616e-06,4.723660010680443368e-09,3.057570876379278434e-08,4.444260909160812691e-10,2.876719046704538160e-09
2.456916462982790237e-06,4.697423979222165307e-09,3.040588594522154334e-08,4.419978426154019098e-10,2.861001274324672727e-09
2.485394857429798321e-06,4.671343993220755009e-09,3.023707319097167256e-08,4.395842961778311080e-10,2.845378665416284536e-09
2.514203348142796490e-06,4.645419188023243665e-09,3.006926490424382319e-08,4.371853719219533979e-10,2.829850704210721880e-09
2.543345761304648260e-06,4.619648704150586207e-09,2.990245552172882035e-08,4.348009906598813206e-10,2.814416878133882239e-09
2.572825967447932223e-06,4.594031687270287422e-09,2.973663951343055053e-08,4.324310736947449822e-10,2.799076677789966873e-09
2.602647881969004651e-06,4.568567288167470479e-09,2.957181138247864816e-08,4.300755428182455123e-10,2.783829596945638244e-09
2.632815465648020122e-06,4.543254662718137494e-09,2.940796566495540644e-08,4.277343203081840171e-10,2.768675132514027718e-09
2.663332725174980912e-06,4.518092971860233920e-09,2.924509692970851689e-08,4.254073289260430582e-10,2.753612784539083656e-09
2.694203713681882057e-06,4.493081381567092744e-09,2.908319977817914146e-08,4.230944919145743355e-10,2.738642056179952174e-09
2.725432531281027893e-06,4.468219062819990285e-09,2.892226884422428385e-08,4.207957329953959346e-10,2.723762453695427801e-09
2.757023325609582764e-06,4.443505191580778102e-09,2.876229879393965365e-08,4.185109763666202823e-10,2.708973486428596875e-09
2.788980292380439744e-06,4.418938948765225438e-09,2.860328432548709671e-08,4.162401467004997845e-10,2.694274666791601284e-09
2.821307675939470909e-06,4.394519520215863711e-09,2.844522016891881916e-08,4.139831691410834232e-10,2.679665510250466327e-09
2.854009769829237506e-06,4.370246096675431537e-09,2.828810108600549607e-08,4.117399693019031323e-10,2.665145535310126666e-09
2.887090917359234552e-06,4.346117873760878092e-09,2.813192187006802613e-08,4.095104732636693760e-10,2.650714263499511031e-09
2.920555512182745261e-06,4.322134051936457414e-09,2.797667734580334403e-08,4.072946075719843043e-10,2.636371219356737333e-09
2.954407998880379827e-06,4.298293836488118058e-09,2.782236236911866333e-08,4.050922992350802932e-10,2.622115930414477358e-09
2.988652873550382432e-06,4.274596437497069718e-09,2.766897182696038249e-08,4.029034757215770960e-10,2.607947927185436030e-09
3.023294684405776334e-06,4.251041069814392090e-09,2.751650063714969423e-08,4.007280649582529535e-10,2.593866743147925790e-09
3.058338032378431778e-06,4.227626953035497321e-09,2.736494374821733806e-08,3.985659953278325580e-10,2.579871914731548515e-09
3.093787571730136731e-06,4.204353311474011785e-09,2.721429613923449477e-08,3.964171956667972476e-10,2.565962981303020951e-09
3.129648010670750519e-06,4.181219374137097974e-09,2.706455281965306445e-08,3.942815952632137088e-10,2.552139485152119259e-09
3.165924111983520818e-06,4.158224374700668035e-09,2.691570882914525304e-08,3.921591238545832553e-10,2.538400971477758807e-09
3.202620693657649979e-06,4.135367551483038063e-09,2.676775923743298449e-08,3.900497116256999989e-10,2.524746988374130210e-09
3.239742629528195378e-06,4.112648147421642141e-09,2.662069914413721166e-08,3.879532892065390573e-10,2.511177086817028928e-09
3.277294849923382168e-06,4.090065410047690836e-09,2.647452367861387975e-08,3.858697876701552052e-10,2.497690820650253936e-09
3.315282342319423268e-06,4.067618591461283814e-09,2.632922799979282792e-08,3.837991385306002921e-10,2.484287746572128403e-09
3.353710152002928776e-06,4.045306948308147871e-09,2.618480729602721265e-08,3.817412737408694561e-10,2.470967424122204831e-09
3.392583382740992040e-06,4.023129741754529512e-09,2.604125678493100314e-08,3.796961256908466657e-10,2.457729415667966057e-09
3.431907197459042598e-06,4.001086237463507815e-09,2.589857171322564188e-08,3.776636272052883639e-10,2.444573286391776482e-09
3.471686818926559579e-06,3.979175705571327135e-09,2.575674735658685740e-08,3.756437115418111962e-10,2.431498604277852320e-09
3.511927530450727740e-06,3.957397420663420449e-09,2.561577901948946537e-08,3.736363123889051742e-10,2.418504940099405557e-09
3.552634676578139464e-06,3.935750661750957954e-09,2.547566203505557761e-08,3.716413638639631765e-10,2.405591867405887173e-09
3.593813663804625307e-06,3.914234712247721586e-09,2.533639176490489897e-08,3.696588005113287509e-10,2.392758962510349060e-09
3.635469961293317292e-06,3.892848859946486525e-09,2.519796359900185441e-08,3.676885573003661985e-10,2.380005804476954840e-09
3.677609101601030474e-06,3.871592396996013169e-09,2.506037295550666343e-08,3.657305696235373267e-10,2.367331975108529965e-09
3.720236681413065301e-06,3.850464619878355918e-09,2.492361528062845923e-08,3.637847732945137720e-10,2.354737058934343022e-09
3.763358362286532808e-06,3.829464829385999070e-09,2.478768604847729287e-08,3.618511045462958358e-10,2.342220643197927150e-09
3.806979871402283974e-06,3.808592330598981970e-09,2.465258076091606464e-08,3.599295000293437284e-10,2.329782317844987077e-09
3.851107002325569028e-06,3.787846432863054001e-09,2.451829494741912581e-08,3.580198968097566860e-10,2.317421675511610550e-09
3.895745615775500812e-06,3.767226449766521792e-09,2.438482416492242660e-08,3.561222323674264448e-10,2.305138311512316408e-09
3.940901640403447568e-06,3.746731699118745836e-09,2.425216399768429171e-08,3.542364445942494975e-10,2.292931823828484803e-09
3.986581073580438997e-06,3.726361502927846315e-09,2.412031005714115014e-08,3.523624717923361948e-10,2.280801813096760542e-09
4.032789982193705460e-06,3.706115187378833689e-09,2.398925798176596488e-08,3.505002526722413036e-10,2.268747882597604495e-09
4.079534503452448557e-06,3.685992082811953103e-09,2.385900343692803901e-08,3.486497263512161216e-10,2.256769638243974869e-09
4.126820845702951947e-06,3.665991523701268684e-09,2.372954211475443318e-08,3.468108323514847889e-10,2.244866688570174743e-09
4.174655289253134888e-06,3.646112848632693210e-09,2.360086973398770046e-08,3.449835105985218909e-10,2.233038644720700436e-09
4.223044187206672164e-06,3.626355400283438047e-09,2.347298203985293859e-08,3.431677014193694554e-10,2.221285120439347536e-09
4.271993966306776970e-06,3.606718525400304210e-09,2.334587480391721226e-08,3.413633455409569499e-10,2.209605732058338438e-09
