m_a_eV,dipole_cann1_D_0.15mm_GeVinv,dipole_cann1_D_1mm_GeVinv
2.115072824868794891e-06,6.201311215061900507e-09,5.828604357680284777e-10
2.139588871343421664e-06,6.131284127191455820e-09,5.763242187332327717e-10
2.164389086064020431e-06,6.062059505128204537e-09,5.698629213059925747e-10
2.189476762856620668e-06,5.993628154823782677e-09,5.634756853344911724e-10
2.214855233726359433e-06,5.925980987586354292e-09,5.571616625033732216e-10
2.240527869300017970e-06,5.859109018875755899e-09,5.509200142210902986e-10
2.266498079273693014e-06,5.793003367107310595e-09,5.447499115085110003e-10
2.292769312865648563e-06,5.727655252475066859e-09,5.386505348888207228e-10
2.319345059274427713e-06,5.663055995783512642e-09,5.326210742786990214e-10
2.346228848142262270e-06,5.599197017296179658e-09,5.266607288807201626e-10
2.373424250023866098e-06,5.536069835595336033e-09,5.207687070769938278e-10
2.400934876860651595e-06,5.473666066456049561e-09,5.149442263240344900e-10
2.428764382460450616e-06,5.411977421732271551e-09,5.091865130488282373e-10
2.456916462982790237e-06,5.350995708256640289e-09,5.034948025460851540e-10
2.485394857429798321e-06,5.290712826751104851e-09,4.978683388766870805e-10
2.514203348142796490e-06,5.231120770752456365e-09,4.923063747672764686e-10
2.543345761304648260e-06,5.172211625548022014e-09,4.868081715110275888e-10
2.572825967447932223e-06,5.113977567125373958e-09,4.813729988695125106e-10
2.602647881969004651e-06,5.056410861132124076e-09,4.760001349757408522e-10
2.632815465648020122e-06,4.999503861849890781e-09,4.706888662382634915e-10
2.663332725174980912e-06,4.943249011177397097e-09,4.654384872464135984e-10
2.694203713681882057e-06,4.887638837627653955e-09,4.602483006766195898e-10
2.725432531281027893e-06,4.832665955335457611e-09,4.551176171997825117e-10
2.757023325609582764e-06,4.778323063076184693e-09,4.500457553897290130e-10
2.788980292380439744e-06,4.724602943296370439e-09,4.450320416327111701e-10
2.821307675939470909e-06,4.671498461154723470e-09,4.400758100379379589e-10
2.854009769829237506e-06,4.619002563574555658e-09,4.351764023491430304e-10
2.887090917359234552e-06,4.567108278307509626e-09,4.303331678571570446e-10
2.920555512182745261e-06,4.515808713006854242e-09,4.255454633134813072e-10
2.954407998880379827e-06,4.465097054312597225e-09,4.208126528448596576e-10
2.988652873550382432e-06,4.414966566946050759e-09,4.161341078688301008e-10
3.023294684405776334e-06,4.365410592815668279e-09,4.115092070102399502e-10
3.058338032378431778e-06,4.316422550132823138e-09,4.069373360187166732e-10
