m_a_eV,MQM_Np_D_0.15mm_GeVinv,MQM_Eu_D_0.15mm_GeVinv,MQM_Np_D_1mm_GeVinv,MQM_Eu_D_1mm_GeVinv
1.479688062686396214e-06,3.610521552490779931e-09,5.589408587908607991e-09,3.386568790534833899e-10,5.242709787537546057e-10
1.496839293077255471e-06,3.590199490720479145e-09,5.557948228253763408e-09,3.367693796535693098e-10,5.213489617536694101e-10
1.514189325304352035e-06,3.569996657269748824e-09,5.526672444645243263e-09,3.348930695424333034e-10,5.184442667681129269e-10
1.531740463702079791e-06,3.549912381712285014e-09,5.495580199203482375e-09,3.330278865501265673e-10,5.155567975524734210e-10
1.549495039314631713e-06,3.529945997565016191e-09,5.464670460153389366e-09,3.311737688784321635e-10,5.126864584376127425e-10
1.567455410205595074e-06,3.510096842264880584e-09,5.433942201788396571e-09,3.293306550988516101e-10,5.098331543267500263e-10
1.585623961771137209e-06,3.490364257148643375e-09,5.403394404439217421e-09,3.274984841506086359e-10,5.069967906923711387e-10
1.604003107056819987e-06,3.470747587429922592e-09,5.373026054438276027e-09,3.256771953386602245e-10,5.041772735731496015e-10
1.622595287078087214e-06,3.451246182178445895e-09,5.342836144087596023e-09,3.238667283317132939e-10,5.013745095708758901e-10
1.641402971144466496e-06,3.431859394297382520e-09,5.312823671623715707e-09,3.220670231602842861e-10,4.985884058474542511e-10
1.660428657187529599e-06,3.412586580503335851e-09,5.282987641186701023e-09,3.202780202147456760e-10,4.958188701218778065e-10
1.679674872092653225e-06,3.393427101303650544e-09,5.253327062785030090e-09,3.184996602433727918e-10,4.930658106672050014e-10
1.699144172034625966e-06,3.374380320977205391e-09,5.223840952265845310e-09,3.167318843504434190e-10,4.903291363076180463e-10
1.718839142817145670e-06,3.355445607551224973e-09,5.194528331279066130e-09,3.149746339943284607e-10,4.876087564154668844e-10
1.738762400216250434e-06,3.336622332782028265e-09,5.165388227247577460e-09,3.132278509855693114e-10,4.849045809082923744e-10
1.758916590327732554e-06,3.317909872133834205e-09,5.136419673334427822e-09,3.114914774850250760e-10,4.822165202459585596e-10
1.779304389918577576e-06,3.299307604757841879e-09,5.107621708410436128e-09,3.097654560019835993e-10,4.795444854277280670e-10
1.799928506782476310e-06,3.280814913472091986e-09,5.078993377023021867e-09,3.080497293922986552e-10,4.768883879893786590e-10
1.820791680099462520e-06,3.262431184741101649e-09,5.050533729364667182e-09,3.063442408565546916e-10,4.742481400003615583e-10
1.841896680799710828e-06,3.244155808655468208e-09,5.022241821241358279e-09,3.046489339382232514e-10,4.716236540609476740e-10
1.863246311931559606e-06,3.225988178912008205e-09,4.994116714041821755e-09,3.029637525218442095e-10,4.690148432994122933e-10
1.884843409033795304e-06,3.207927692793194079e-09,4.966157474705702956e-09,3.012886408312093352e-10,4.664216213692229769e-10
1.906690840512251975e-06,3.189973751147905681e-09,4.938363175693761833e-09,2.996235434275786332e-10,4.638439024462775516e-10
1.928791508020777896e-06,3.172125758371661068e-09,4.910732894957271397e-09,2.979684052078750727e-10,4.612816012261104109e-10
1.951148346846616293e-06,3.154383122386478789e-09,4.883265715906837145e-09,2.963231714029235724e-10,4.587346329211657661e-10
1.973764326300255428e-06,3.136745254621704670e-09,4.855960727382723609e-09,2.946877875756854344e-10,4.562029132580644863e-10
1.996642450109793374e-06,3.119211569994810051e-09,4.828817023625122178e-09,2.930621996195075139e-10,4.536863584748937895e-10
2.019785756819878467e-06,3.101781486891670567e-09,4.801833704243622340e-09,2.914463537563858628e-10,4.511848853185189573e-10
2.043197320195270527e-06,3.084454427147545122e-09,4.775009874187764884e-09,2.898401965352388873e-10,4.486984110419099904e-10
2.066880249629081940e-06,3.067229816028531747e-09,4.748344643718338727e-09,2.882436748301981861e-10,4.462268534014962852e-10
2.090837690555749843e-06,3.050107082211891862e-09,4.721837128376912548e-09,2.866567358388974750e-10,4.437701306545169674e-10
2.115072824868794891e-06,3.033085657767918898e-09,4.695486448957772685e-09,2.850793270807842085e-10,4.413281615564075183e-10
2.139588871343421664e-06,3.016164978140449500e-09,4.669291731477750064e-09,2.835113963954541031e-10,4.389008653582215046e-10
2.164389086064020431e-06,2.999344482129108102e-09,4.643252107148734648e-09,2.819528919409634817e-10,4.364881618040177214e-10
2.189476762856620668e-06,2.982623611870603130e-09,4.617366712348717493e-09,2.804037621921902158e-10,4.340899711283230744e-10
2.214855233726359433e-06,2.966001812819832541e-09,4.591634688592544123e-09,2.788639559391828796e-10,4.317062140535766433e-10
2.240527869300017970e-06,2.949478533732772766e-09,4.566055182505421593e-09,2.773334222855355466e-10,4.293368117876136573e-10
2.266498079273693014e-06,2.933053226646914235e-09,4.540627345792635406e-09,2.758121106467607257e-10,4.269816860211472981e-10
2.292769312865648563e-06,2.916725346864676407e-09,4.515350335213867204e-09,2.742999707486808050e-10,4.246407589252776979e-10
2.319345059274427713e-06,2.900494352934412802e-09,4.490223312553796778e-09,2.727969526258386758e-10,4.223139531490316971e-10
2.346228848142262270e-06,2.884359706633293332e-09,4.465245444595598365e-09,2.713030066199072194e-10,4.200011918169010514e-10
2.373424250023866098e-06,2.868320872949234538e-09,4.440415903092967062e-09,2.698180833781146142e-10,4.177023985264039034e-10
2.400934876860651595e-06,2.852377320063599106e-09,4.415733864743335537e-09,2.683421338516845306e-10,4.154174973456710179e-10
2.428764382460450616e-06,2.836528519333553349e-09,4.391198511160567151e-09,2.668751092942858923e-10,4.131464128110447352e-10
2.456916462982790237e-06,2.820773945275032246e-09,4.366809028848575506e-09,2.654169612604886323e-10,4.108890699246891943e-10
2.485394857429798321e-06,2.805113075544874822e-09,4.342564609173673458e-09,2.639676416042419401e-10,4.086453941522342643e-10
2.514203348142796490e-06,2.789545390924339683e-09,4.318464448339058726e-09,2.625271024773504392e-10,4.064153114204164768e-10
2.543345761304648260e-06,2.774070375301594013e-09,4.294507747357693952e-09,2.610952963279790069e-10,4.041987481147643680e-10
2.572825967447932223e-06,2.758687515655277083e-09,4.270693712026870069e-09,2.596721758991458576e-10,4.019956310772657772e-10
2.602647881969004651e-06,2.743396302037126146e-09,4.247021552901307212e-09,2.582576942272528502e-10,3.998058876040925839e-10
2.632815465648020122e-06,2.728196227555918801e-09,4.223490485268294637e-09,2.568518046406019390e-10,3.976294454433036264e-10
2.663332725174980912e-06,2.713086788360100122e-09,4.200099729120798246e-09,2.554544607579427486e-10,3.954662327925969941e-10
2.694203713681882057e-06,2.698067483621832143e-09,4.176848509132766771e-09,2.540656164870239733e-10,3.933161782970670237e-10
2.725432531281027893e-06,2.683137815520516002e-09,4.153736054633622344e-09,2.526852260231509296e-10,3.911792110469708083e-10
2.757023325609582764e-06,2.668297289226358346e-09,4.130761599582821390e-09,2.513132438477604273e-10,3.890552605755230369e-10
2.788980292380439744e-06,2.653545412884362901e-09,4.107924382545068985e-09,2.499496247270075828e-10,3.869442568567072751e-10
2.821307675939470909e-06,2.638881697598022199e-09,4.085223646665074957e-09,2.485943237103583719e-10,3.848461303030977913e-10
2.854009769829237506e-06,2.624305657413372838e-09,4.062658639642868338e-09,2.472472961292004311e-10,3.827608117637084217e-10
2.887090917359234552e-06,2.609816809303386173e-09,4.040228613709636242e-09,2.459084975954591847e-10,3.806882325218505349e-10
2.920555512182745261e-06,2.595414673151808102e-09,4.017932825602699998e-09,2.445778840002245700e-10,3.786283242930070741e-10
2.954407998880379827e-06,2.581098771737783021e-09,3.995770536541719648e-09,2.432554115123931166e-10,3.765810192227303807e-10
2.988652873550382432e-06,2.566868630719981465e-09,3.973741012204111790e-09,2.419410365773212966e-10,3.745462498845569759e-10
3.023294684405776334e-06,2.552723778621348553e-09,3.951843522701450946e-09,2.406347159154866810e-10,3.725239492779357829e-10
3.058338032378431778e-06,2.538663746813772613e-09,3.930077342555727819e-09,2.393364065211597979e-10,3.705140508261714462e-10
3.093787571730136731e-06,2.524688069502401417e-09,3.908441750675067411e-09,2.380460656610894838e-10,3.685164883743891567e-10
3.129648010670750519e-06,2.510796283710819524e-09,3.886936030330788820e-09,2.367636508731987303e-10,3.665311961875158660e-10
3.165924111983520818e-06,2.496987929266170193e-09,3.865559469134369918e-09,2.354891199652930413e-10,3.645581089482806805e-10
3.202620693657649979e-06,2.483262548783328524e-09,3.844311359012944600e-09,2.342224310137746326e-10,3.625971617552243549e-10
3.239742629528195378e-06,2.469619687650922517e-09,3.823190996187659611e-09,2.329635423623740538e-10,3.606482901207358233e-10
3.277294849923382168e-06,2.456058894016114192e-09,3.802197681150123883e-09,2.317124126208885308e-10,3.587114299690985029e-10
3.315282342319423268e-06,2.442579718769655745e-09,3.781330718639262366e-09,2.304690006639312950e-10,3.567865176345548975e-10
3.353710152002928776e-06,2.429181715531919289e-09,3.760589417619698492e-09,2.292332656296981276e-10,3.548734898593966375e-10
3.392583382740992040e-06,2.415864440637821081e-09,3.739973091258411965e-09,2.280051669187340848e-10,3.529722837920553474e-10
3.431907197459042598e-06,2.402627453122598146e-09,3.719481056902715490e-09,2.267846641927223247e-10,3.510828369852277372e-10
3.471686818926559579e-06,2.389470314707595249e-09,3.699112636058256320e-09,2.255717173732757773e-10,3.492050873940048821e-10
3.511927530450727740e-06,2.376392589785866575e-09,3.678867154366729111e-09,2.243662866407443498e-10,3.473389733740256965e-10
3.552634676578139464e-06,2.363393845408094631e-09,3.658743941584070619e-09,2.231683324330313352e-10,3.454844336796446256e-10
3.593813663804625307e-06,2.350473651268703956e-09,3.638742331558965409e-09,2.219778154444212706e-10,3.436414074621172768e-10
3.635469961293317292e-06,2.337631579691674557e-09,3.618861662210885450e-09,2.207946966244210579e-10,3.418098342678058509e-10
3.677609101601030474e-06,2.324867205616731301e-09,3.599101275508707911e-09,2.196189371766048576e-10,3.399896540363917602e-10
3.720236681413065301e-06,2.312180106585714462e-09,3.579460517449615026e-09,2.184504985574811097e-10,3.381808070991206096e-10
3.763358362286532808e-06,2.299569862728850175e-09,3.559938738037840924e-09,2.172893424753619846e-10,3.363832341770530197e-10
3.806979871402283974e-06,2.287036056751014692e-09,3.540535291263409369e-09,2.161354308892422433e-10,3.345968763793283234e-10
3.851107002325569028e-06,2.274578273918616534e-09,3.521249535081821513e-09,2.149887260077049550e-10,3.328216752014708613e-10
3.895745615775500812e-06,2.262196102045696136e-09,3.502080831392538444e-09,2.138491902878131267e-10,3.310575725236739959e-10
3.940901640403447568e-06,2.249889131481006115e-09,3.483028546018986165e-09,2.127167864340361004e-10,3.293045106091383577e-10
3.986581073580438997e-06,2.237656955094631619e-09,3.464092048687832237e-09,2.115914773971740371e-10,3.275624321024060060e-10
4.032789982193705460e-06,2.225499168264853464e-09,3.445270713008657817e-09,2.104732263732955848e-10,3.258312800277170288e-10
4.079534503452448557e-06,2.213415368865144850e-09,3.426563916453822423e-09,2.093619968026878237e-10,3.241109977873830465e-10
4.126820845702951947e-06,2.201405157251312014e-09,3.407971040338556184e-09,2.082577523688218516e-10,3.224015291601862560e-10
4.174655289253134888e-06,2.189468136248299869e-09,3.389491469800540471e-09,2.071604569973179548e-10,3.207028182997773881e-10
4.223044187206672164e-06,2.177603911137854609e-09,3.371124593780798368e-09,2.060700748549351552e-10,3.190148097331114063e-10
4.271993966306776970e-06,2.165812089645484445e-09,3.352869805003517258e-09,2.049865703485625415e-10,3.173374483588859442e-10
4.321511127789761941e-06,2.154092281927975383e-09,3.334726499956718025e-09,2.039099081242271948e-10,3.156706794460053349e-10
4.371602248248501995e-06,2.142444100561009154e-09,3.316694078873087626e-09,2.028400530661120671e-10,3.140144486320608217e-10
4.422273980505897255e-06,2.130867160526444903e-09,3.298771945710288053e-09,2.017769702955828289e-10,3.123687019218231764e-10
4.473533054498463085e-06,2.119361079200218776e-09,3.280959508132228141e-09,2.007206251702280039e-10,3.107333856857573931e-10
4.525386278170166693e-06,2.107925476339964747e-09,3.263256177489894894e-09,1.996709832829132687e-10,3.091084466585583718e-10
4.577840538376616169e-06,2.096559974072865403e-09,3.245661368802546711e-09,1.986280104608410261e-10,3.074938319376950807e-10
4.630902801799736631e-06,2.085264196883649143e-09,3.228174500739136146e-09,1.975916727646278400e-10,3.058894889819823249e-10
4.684580115873045307e-06,2.074037771602347899e-09,3.210794995599350932e-09,1.965619364873881784e-10,3.042953656101625976e-10
4.738879609717650886e-06,2.062880327392636377e-09,3.193522279295566139e-09,1.955387681538325271e-10,3.027114099995093854e-10
4.793808495089106764e-06,2.051791495739905350e-09,3.176355781334381086e-09,1.945221345193771116e-10,3.011375706844492404e-10
4.849374067335233355e-06,2.040770910439414364e-09,3.159294934798276206e-09,1.935120025692629750e-10,2.995737965551981210e-10
4.905583706365045857e-06,2.029818207584755877e-09,3.142339176327756687e-09,1.925083395176910318e-10,2.980200368564220839e-10
4.962444877628913673e-06,2.018933025556158513e-09,3.125487946103243844e-09,1.915111128069624719e-10,2.964762411859065565e-10
