m_a_eV,MQM_squid_GeVinv
5.764488282925873171e-06,8.662992023395595691e-14
5.831305113526218997e-06,8.617103298330424229e-14
5.898896425508492959e-06,8.571501421537219294e-14
5.967271195973310562e-06,8.526184891041451584e-14
6.036438506075863713e-06,8.481152214537194165e-14
6.106407542232036346e-06,8.436401909340333560e-14
6.177187597338488473e-06,8.391932502342824646e-14
6.248788072006888211e-06,8.347742529966059511e-14
6.321218475812448520e-06,8.303830538115618394e-14
6.394488428556936328e-06,8.260195082135761873e-14
6.468607661546320942e-06,8.216834726764844452e-14
6.543586018883229431e-06,8.173748046090235886e-14
6.619433458774387721e-06,8.130933623504516059e-14
6.696160054853215108e-06,8.088390051661178861e-14
6.773775997517744987e-06,8.046115932431748446e-14
6.852291595284057289e-06,8.004109876861484382e-14
6.931717276155400522e-06,7.962370505127722217e-14
7.012063589007177030e-06,7.920896446496414189e-14
7.093341204987989700e-06,7.879686339280174445e-14
7.175560918936921209e-06,7.838738830796769810e-14
7.258733650817246552e-06,7.798052577327247056e-14
7.342870447166757580e-06,7.757626244074615517e-14
7.427982482564909622e-06,7.717458505123471297e-14
7.514081061116962114e-06,7.677548043398766983e-14
7.601177617955322483e-06,7.637893550626398888e-14
7.689283720758305013e-06,7.598493727292611643e-14
7.778411071286482598e-06,7.559347282604745735e-14
7.868571506936843969e-06,7.520452934452202151e-14
7.959777002314978321e-06,7.481809409367063698e-14
8.052039670825469458e-06,7.443415442485847243e-14
8.145371766280736623e-06,7.405269777511137305e-14
8.239785684528511741e-06,7.367371166673682865e-14
8.335293965098186867e-06,7.329718370694371748e-14
8.431909292866250367e-06,7.292310158747535336e-14
8.529644499741016815e-06,7.255145308423540153e-14
8.628512566366886081e-06,7.218222605691923449e-14
8.728526623848370479e-06,7.181540844865298712e-14
8.829699955494083082e-06,7.145098828563238459e-14
8.932045998580959975e-06,7.108895367676358979e-14
9.035578346138921401e-06,7.072929281330837995e-14
9.140310748756222539e-06,7.037199396853115356e-14
9.246257116405732772e-06,7.001704549735390147e-14
9.353431520292377225e-06,6.966443583600653327e-14
9.461848194721992990e-06,6.931415350168423399e-14
9.571521538991855843e-06,6.896618709221057632e-14
9.682466119303114621e-06,6.862052528569461221e-14
9.794696670695385670e-06,6.827715684020324951e-14
9.908228099003786902e-06,6.793607059342451561e-14
1.002307548283864352e-05,6.759725546234154967e-14
1.013925407558814327e-05,6.726070044290669574e-14
1.025677930744420885e-05,6.692639460971766590e-14
1.037566678745184839e-05,6.659432711569785600e-14
1.049593230558226690e-05,6.626448719177830212e-14
1.061759183482999109e-05,6.593686414658342367e-14
1.074066153333432268e-05,6.561144736611992187e-14
1.086515774652537261e-05,6.528822631346495886e-14
1.099109700929496075e-05,6.496719052846194763e-14
1.111849604819269957e-05,6.464832962741380505e-14
1.124737178364750747e-05,6.433163330278452267e-14
1.137774133221490236e-05,6.401709132289590330e-14
1.150962200885031106e-05,6.370469353163517764e-14
1.164303132920875528e-05,6.339442984815938968e-14
